AP Inventory
AP Name,Ethernet MAC,AP IP Address,Location,Model,Controller Name,Primary Controller Name,Admin Status,Serial Number,AP Type,Secondary Controller Name,AP Mode
MTRSGG00002/01-02AI-R_OFFICE,00:1F:64:DB:BE:35,10.15.14.251,Jayakarta_Hotel_09,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Enabled,SN:01010600P13513900022,CAPWAP,,FitAP
MTRMTR00149/02-01AI-LT2_RUKO,00:1F:64:DB:BE:3B,10.15.15.49,TOKO_NESYA_PANJITILAR,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Enabled,SN:01010600P13513900024,CAPWAP,,FitAP
BIMBIM00007/01-01AI-DPN_R_TU,00:1F:64:DB:BE:3E,10.15.14.173,KAMPUS_STKIP_BIMA_01,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Enabled,SN:01010600P13513900025,CAPWAP,,FitAP
BIMBIM00012/01-01AI-DP_R_TU,00:1F:64:DB:BE:41,0.0.0.0,SMK3_BIMA_01,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Disabled,SN:00000000000000000000,CAPWAP,,FitAP
BIMBIM00007/01-03AI-DP_AULA,00:1F:64:DB:BE:44,10.15.14.91,KAMPUS_STKIP_BIMA_03,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Enabled,SN:01010600P13513900027,CAPWAP,,FitAP
PTKPTK00322/01-01AI-Dalam_Cafe,00:1F:64:DB:BE:47,10.15.24.135,CAFE-RAZA_JL_AMPERA_PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900028,CAPWAP,WAC-D6-SKK,FitAP
PALPAL00069/01-02AI-Dp_Kasir_Careto_Lantai_1,00:1F:64:DB:BE:4A,10.15.67.28,CARETO CAFE & RESTO JL. PEMUDA PALU,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900029,CAPWAP,WAC-D7-PTR02,FitAP
PALPAL00045/01-01AI-Dp_Kasir_Sikamali,00:1F:64:DB:BE:53,10.15.67.4,WARKOP SIKAMALI JL. BALAIKOTA SELATAN PALU,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900032,CAPWAP,WAC-D7-PTR02,FitAP
PALPAL00050/01-01AI-Toko_Elektronik_Tiara,00:1F:64:DB:BE:5C,10.14.61.48,TOKO ELEKTRONIK TIARA JL. W. MONGINSIDI NO. 24 PALU,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Disabled,SN:01010600P13513900035,CAPWAP,WAC-D7-PTR02,FitAP
autoap,00:1F:64:DB:BE:5F,0.0.0.0,SAILTOMINI,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Disabled,SN:00000000000000000000,CAPWAP,WAC-D7-PTR02,FitAP
PALPAL000135/01-02AI-Rg_VIP,00:1F:64:DB:BE:62,10.14.60.28,WARKOP AWENG HARAPAN JL. SAM RATULANGI PALU,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900037,CAPWAP,WAC-D7-PTR02,FitAP
PALPAL00137/01-01AI_DP_ETALASE,00:1F:64:DB:BE:65,10.14.60.24,BENGKEL SMARTPHONEJL. DR SUHARSO 21 palu,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900038,CAPWAP,WAC-D7-PTR02,FitAP
PALTWL00002/01-01AI-Dp_Plasa_Tawaeli,00:1F:64:DB:BE:68,10.15.68.13,WIFI CORNER PLASA TAWAELI JL. SAMUDRA RAYA TAWAELI,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900039,CAPWAP,WAC-D7-PTR02,FitAP
SD_Ebenhaezer_2,00:1F:64:DB:BF:10,10.14.3.163,WMS_SD_Ebenhazer_2_Jl_Diponegoro_no.4_Manado,AE5100-E2AN2T,WAC-D7-MDO,WAC-D7-MDO,Disabled,SN:01010600P13513900095,CAPWAP,WAC-D7-PIK,FitAP
PTKPTK00132/01-01AI-R_Service,00:1F:64:DB:BF:22,0.0.0.0,CANDIKA-COMPUTER_JL-KH-WAHID-HASYIM_PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:00000000000000000000,CAPWAP,WAC-D6-SKK,FitAP
6PTK000631/01-01AI-Cafe,00:1F:64:DB:BF:4F,10.15.21.171,6PTK_CAFE_SINAR-FAJAR,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900116,CAPWAP,WAC-D6-SKK,FitAP
JPAJPR00014/01-01AI-Dpn_R_Perpus,00:1F:64:DB:BF:5B,0.0.0.0,Jl. HOS Cokroaminoto No 1 Jepara,AE5100-E2AN2T,WAC-D4-GBL01,WAC-D4-GBL01,Disabled,SN:00000000000000000000,CAPWAP,,FitAP
PTKPTK00180/01-02AI-Dlm_Cafe_Ruko_3,00:1F:64:DB:BF:6A,10.15.22.69,CAFE-ABI_JL_DANAU-SENTARUM_PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900125,CAPWAP,WAC-D6-SKK,FitAP
PTKSRD00008/01-01AI-Dlm_Cafe,00:1F:64:DB:BF:6D,10.15.24.37,CAFE-50:50_JL_SEI-RAYA-DALAM_PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900126,CAPWAP,WAC-D6-SKK,FitAP
PTKPTK00305/01-01AI-Atas_Kasir,00:1F:64:DB:BF:70,10.15.24.48,CAFE-TUNE_JL_GAJAHMADA_PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900127,CAPWAP,WAC-D6-SKK,FitAP
PTKPTK00303/01-01AI-Atas_Kasir,00:1F:64:DB:BF:76,10.15.24.95,RM-PUTRI-RAYA_JL_AHMAD-YANI_PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900129,CAPWAP,WAC-D6-SKK,FitAP
4KS006321/01-03AI-R_Playanan,00:1F:64:DB:BF:7C,10.15.53.203,RSUD Kudus Jl. Lukmonohadi no.19 kudus Tlp. 444001,AE5100-E2AN2T,WAC-D4-GBL01,WAC-D4-GBL01,Enabled,SN:01010600P13513900131,CAPWAP,,FitAP
4PW003800/1-01AI-R_Guru,00:1F:64:DB:BF:7F,10.15.11.134,SMU Negeri 1 GUBUG JL. A YANI NO. 171 GUBUG KEL. GUBUG KEC. GUBUG,AE5100-E2AN2T,WAC-D4-GBL01,WAC-D4-GBL01,Enabled,SN:01010600P13513900132,CAPWAP,,FitAP
4KS005665/01-01AI-R_Server,00:1F:64:DB:BF:82,10.15.71.5,Dinas Pendidikan Kec. Mejobo ? Kudus JL MEJOBO,AE5100-E2AN2T,WAC-D4-GBL01,WAC-D4-GBL01,Enabled,SN:01010600P13513900133,CAPWAP,,FitAP
4PT003819/01-02AI-Dp_R_Guru,00:1F:64:DB:BF:85,10.15.11.107,SMPN 5 PATI Jl. Sudirman No. 62 Pat,i Tlp. 0295 381114,AE5100-E2AN2T,WAC-D4-GBL01,WAC-D4-GBL01,Enabled,SN:01010600P13513900134,CAPWAP,,FitAP
PTKPTK00210/01-02AI-R-vip,00:1F:64:DB:BF:91,10.15.24.85,PIZZA-HUT-AYANI-MEGAMALL_JL_AHMAD-YANI_PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900138,CAPWAP,WAC-D6-SKK,FitAP
6PTK000632/01-01AI-Cafe,00:1F:64:DB:BF:94,10.15.20.99,6PTK_CAFE_SOCCER,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900139,CAPWAP,WAC-D6-SKK,FitAP
6PTK003582/01-01AI-Asrama_Lt_1,00:1F:64:DB:BF:A3,10.15.20.14,ASRAMA-AKBID-PANCA-BHAKTI-II_JL-A-YANI_PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900144,CAPWAP,WAC-D6-SKK,FitAP
autoap,00:1F:64:DB:BF:C7,10.15.68.15,Not set,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900156,CAPWAP,WAC-D7-PTR02,FitAP
PALPAL00087/01-01AI-R_Aula_KPU_Propinsi,00:1F:64:DB:BF:DF,10.14.61.57,KPU PROP. SULTENG JL. S. PARMAN NO. 58 PALU,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Disabled,SN:01010600P13513900164,CAPWAP,WAC-D7-PTR02,FitAP
PTKPTK00317/01-01AI-Depan_Ruang_Kepala,00:1F:64:DB:BF:E5,10.15.24.122,KANTOR-KANWIL-KEHAKIMAN_JL_AR-HAKIM_PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900166,CAPWAP,WAC-D6-SKK,FitAP
autoap,00:1F:64:DB:BF:EB,10.15.68.38,Not set,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Disabled,SN:01010600P13513900168,CAPWAP,WAC-D7-PTR02,FitAP
PTKPTK00319/02-01AI-Dalam_Counter,00:1F:64:DB:BF:EE,10.15.24.125,MAESTRO-PONSEL_KOMP-KHATULISTIWA-PLASA_JL_DIPONEGORO_PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900169,CAPWAP,WAC-D6-SKK,FitAP
autoap,00:1F:64:DB:BF:F4,10.15.68.37,Not set,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Disabled,SN:01010600P13513900171,CAPWAP,WAC-D7-PTR02,FitAP
autoap,00:1F:64:DB:BF:F7,10.15.68.39,Not set,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900172,CAPWAP,WAC-D7-PTR02,FitAP
PALPAL00100/01-01AI-Unity_Cafe_Resto,00:1F:64:DB:BF:FA,10.14.61.64,WIFI CORNER UNITY CAFE & RESTO JL. BASUKI RAHMAT NO. 49 PALU,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900173,CAPWAP,WAC-D7-PTR02,FitAP
PALPAL00070/01-01AI_Warkop_Teman_Nongkrong,00:1F:64:DB:BF:FD,0.0.0.0,WIFI CORNER WARKOP TEMAN NONGKRONG JL. JUANDA,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Disabled,SN:00000000000000000000,CAPWAP,WAC-D7-PTR02,FitAP
PALPAL00019/01-01AI-Selebes_Seluler,00:1F:64:DB:C0:00,10.14.61.18,SELEBES SELULER JL. GATOT SUBROTO NO. 45 PALU,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900175,CAPWAP,WAC-D7-PTR02,FitAP
PALPAL00087/01-02AI-Dp_R_Ketua_KPU_Propinsi,00:1F:64:DB:C0:09,10.14.61.37,KPU PROP. SULTENG JL. S. PARMAN NO. 58 PALU,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Disabled,SN:01010600P13513900178,CAPWAP,WAC-D7-PTR02,FitAP
PALPAL00088/01-01AI-R_Kerja_KPU_Kota,00:1F:64:DB:C0:0C,10.14.60.5,KPU KOTA PALU JL. BALAIKOTA SELATAN PALU,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900179,CAPWAP,WAC-D7-PTR02,FitAP
PALPAL00099/01-01AI-R_Guru_SMP_Negeri_1,00:1F:64:DB:C0:0F,10.15.67.29,SMP NEGERI 1 PALU JL. GATOT SUBROTO PALU,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900180,CAPWAP,WAC-D7-PTR02,FitAP
PALPAL00113/01-01AI-Dp_Lobby_Cafe_Foodie,00:1F:64:DB:C0:15,10.14.61.20,FOODIE CAFE & RESTO JL. HASANUDDIN PALU,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900182,CAPWAP,WAC-D7-PTR02,FitAP
PALPAL00095/01-03AI-R_Tata_Usaha_SMK_1,00:1F:64:DB:C0:5D,10.15.68.28,SMK NEGERI 1 PALU JL. RA. KARTINI PALU,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900206,CAPWAP,WAC-D7-PTR02,FitAP
PSOPOS00005/01-01AI-Prapatan_Home_Coffee,00:1F:64:DB:C0:60,10.15.67.20,PRAPATAN HOME COFFEE JL. SUDIRMAN N0. 19 POSO,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900207,CAPWAP,WAC-D7-PTR02,FitAP
PALPAL00118/01-02BI-Pintu_Samping_Rujab_Bupati_Mamut,00:1F:64:DB:C0:7E,10.15.68.9,RUJAB BUPATI MAMUJU UTARA PASANGKAYU,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900217,CAPWAP,WAC-D7-PTR02,FitAP
PALPAL00006/01-04AI-Dpn_R_Karyawan,00:1F:64:DB:C0:8A,10.14.60.10,KANTOR TVRI JL. RAJA MOILI PALU,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900221,CAPWAP,WAC-D7-PTR02,FitAP
autoap,00:1F:64:DB:C1:14,10.15.67.43,Not set,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Disabled,SN:01010600P13513900267,CAPWAP,WAC-D7-PTR02,FitAP
autoap,00:1F:64:DB:C1:1A,10.15.67.44,Not set,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Disabled,SN:01010600P13513900269,CAPWAP,WAC-D7-PTR02,FitAP
autoap,00:1F:64:DB:C1:20,0.0.0.0,SAILTOMINI,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Disabled,SN:00000000000000000000,CAPWAP,WAC-D7-PTR02,FitAP
autoap,00:1F:64:DB:C1:3B,10.15.68.21,Not set,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900280,CAPWAP,WAC-D7-PTR02,FitAP
PTKPTK00055/01-01AI-Dlm_Cafe,00:1F:64:DB:C1:DD,10.15.22.60,CAFE-QEYS_JL_DANAU-SENTARUM_PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900334,CAPWAP,WAC-D6-SKK,FitAP
autoap,00:1F:64:DB:C1:E6,0.0.0.0,Not set,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:00000000000000000000,CAPWAP,WAC-D6-SKK,FitAP
6PTK000657/01-12AI-Dpn_Admin_Tsel,00:1F:64:DB:C1:EC,10.15.20.96,TELKOMSEL-DPN-R-ADMIN_JL_GST-SULUNG-LELANANG_PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900339,CAPWAP,WAC-D6-SKK,FitAP
PTKJWI00003/01-01AI-Dlm_Cafe,00:1F:64:DB:C1:F2,10.15.22.32,CAFE-TIURMA_JL_KOMYOS-SUDARSO_PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900341,CAPWAP,WAC-D6-SKK,FitAP
PTKPTK00146/01-01AI-Dlm_Cafe,00:1F:64:DB:C1:F5,10.15.23.24,CAFE-O_JL_MERDEKA-PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900342,CAPWAP,WAC-D6-SKK,FitAP
PTKPTK00150/01-01AI-Dlm_Cafe,00:1F:64:DB:C1:F8,0.0.0.0,CAFE-ALSYA_JL_TANJUNG-RAYA-II_PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:00000000000000000000,CAPWAP,WAC-D6-SKK,FitAP
PTKJWI00004/01-01AI-Dlm_Cafe,00:1F:64:DB:C1:FB,10.15.21.160,CAFE-AS_JL_KOMYOS-SUDARSO_PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900344,CAPWAP,WAC-D6-SKK,FitAP
PTKPTK00152/01-01AI-Dlm_Cafe,00:1F:64:DB:C1:FE,0.0.0.0,CAFE-KITA_JL_PARIS-II_PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:00000000000000000000,CAPWAP,WAC-D6-SKK,FitAP
STGSTN00002/01-01AI-Dpn_Plasa,00:1F:64:DB:C2:0A,10.15.21.168,PLASA-SINTANG,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900349,CAPWAP,WAC-D6-SKK,FitAP
PALPAL00060/01-01AI-R_Galeri_Komputer_Lt_1,00:1F:64:DB:C2:6A,10.15.68.40,GALERI KOMPUTER JL. SUHARSO PALU,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900381,CAPWAP,WAC-D7-PTR02,FitAP
PALPAL00060/01-02AI-R_Galeri_Komputer_Lt_2,00:1F:64:DB:C2:70,10.15.68.46,GALERI KOMPUTER JL. SUHARSO PALU,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900383,CAPWAP,WAC-D7-PTR02,FitAP
PTKPTK00144/01-01AI-Dlm_Cafe,00:1F:64:DB:C3:DB,10.15.22.66,WIFI-CORNER-CAFE-ATLAS_JL_AMPERA_PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900504,CAPWAP,WAC-D6-SKK,FitAP
5MTR011067/01-03AI-DP_KLS_8_C,00:1F:64:DB:C4:41,0.0.0.0,SMPn_19_03,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Disabled,SN:00000000000000000000,CAPWAP,,FitAP
5MTR011067/01-02AI-DP_KLS_7_A,00:1F:64:DB:C4:44,10.15.14.147,SMPn_19_02,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Enabled,SN:01010600P13513900539,CAPWAP,,FitAP
5MTR011067/01-04AI-DP_KLS_9_C,00:1F:64:DB:C4:47,10.15.14.207,SMPn_19_04,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Enabled,SN:01010600P13513900540,CAPWAP,,FitAP
5MTR011067/01-05AI-DP_R_GURU,00:1F:64:DB:C4:4D,10.15.14.34,SMPn_19_05,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Enabled,SN:01010600P13513900542,CAPWAP,,FitAP
PTKPTK00177/01-01AI-Dlm_Cafe,00:1F:64:DB:C4:68,10.15.22.44,CAFE-AE'K-KOPI_JL_AMPERA_PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900551,CAPWAP,WAC-D6-SKK,FitAP
PTKPTK00173/01-01AI-Dlm_Cafe,00:1F:64:DB:C4:71,0.0.0.0,CAFE-155_JL_HIJAS_PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:00000000000000000000,CAPWAP,WAC-D6-SKK,FitAP
BTBTU00004/01-01AI-lantai3-11F0056,00:1F:64:DB:C4:77,10.14.3.133,WMS Kantor Pajak Bitung Lantai 3 Jl. Samratulangi Bitung,AE5100-E2AN2T,WAC-D7-MDO,WAC-D7-MDO,Disabled,SN:01010600P13513900556,CAPWAP,WAC-D7-PIK,FitAP
MTRMTR00168/11-02AI-BRT_KARAOKE,00:1F:64:DB:C4:7D,10.15.15.196,GOLDEN_PALACE_HOTEL_AP_049_DP_908,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Enabled,SN:01010600P13513900558,CAPWAP,,FitAP
PTKSRY00004/01-01AI-Ktr_DPPKAD,00:1F:64:DB:C4:92,10.15.23.159,KANTOR-DPPKAD-KAB-KUBU-RAYA,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900565,CAPWAP,WAC-D6-SKK,FitAP
autoap,00:1F:64:DB:C4:95,0.0.0.0,eks-cafe-abi,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:00000000000000000000,CAPWAP,WAC-D6-SKK,FitAP
MTRMTR00160/01-01AI-SLPRNG_ROOM,00:1F:64:DB:C4:BF,10.15.14.246,LOMBOK_RAYA_HOTEL_09,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Enabled,SN:01010600P13513900580,CAPWAP,,FitAP
PTKPTK00181/01-01AI-Dlm_Cafe,00:1F:64:DB:C4:E0,10.15.23.78,KANTIN-MAK-LONG_JL_AMPERA_PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900591,CAPWAP,WAC-D6-SKK,FitAP
BTBTU00004/01-02AI-lantai2-11F0057,00:1F:64:DB:C4:FE,10.14.3.132,WMS Kantor Pajak Bitung Lantai 2 Jl. Samratulangi Bitung,AE5100-E2AN2T,WAC-D7-MDO,WAC-D7-MDO,Disabled,SN:01010600P13513900601,CAPWAP,WAC-D7-PIK,FitAP
PTKPTK00186/01-01AI-Dlm_Cafe,00:1F:64:DB:C5:07,10.15.23.100,CAFE-OLAN_JL_SULTAN-ABDUL-RAHMAH_PTK,AE5100-E2AN2T,WAC-D6-PTK,WAC-D6-PTK,Disabled,SN:01010600P13513900604,CAPWAP,WAC-D6-SKK,FitAP
BTBTU00004/01-03AI-lantai4-11F0058,00:1F:64:DB:C5:0D,10.14.3.131,WMS Kantor Pajak Bitung Lantai 4 Jl. Samratulangi Bitung,AE5100-E2AN2T,WAC-D7-MDO,WAC-D7-MDO,Disabled,SN:01010600P13513900606,CAPWAP,WAC-D7-PIK,FitAP
