AP Inventory
AP Name,Ethernet MAC,AP IP Address,Model,Map Location,Controller Name,802.11b/g/n Status,Location
5MTR010906/02-05AI-DP_R_KEPSEK,00:1F:64:DB:BE:1D,10.15.14.86,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Up,SMKn_3_MTR_11
MTRSGG00002/01-03AI-R_SENGGIGI,00:1F:64:DB:BE:20,10.15.14.227,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Up,Jayakarta_Hotel_10
MTRSGG00002/02-07AI-R_RINJANI,00:1F:64:DB:BE:23,10.15.14.176,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Up,Jayakarta_Hotel_07
5MTR010906/03-01AI-DP_R_SERVER,00:1F:64:DB:BE:26,10.15.14.211,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Up,SMKn_3_MTR_12
MTRSGG00002/02-06AI-_R_RINJANI,00:1F:64:DB:BE:29,10.15.14.170,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Up,Jayakarta_Hotel_06
MTRSGG00002/01-01AI-DP_R_OFFICE,00:1F:64:DB:BE:2C,10.15.14.218,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Up,Jayakarta_Hotel_08
MTRMTR00135/01-01AI-DP_R_BK_BP,00:1F:64:DB:BE:2F,0.0.0.0,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Down,MAN_1_AP_01
BIMBIM00007/01-02AI-DP_KANTIN,00:1F:64:DB:BE:32,10.15.14.250,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Up,KAMPUS_STKIP_BIMA_02
MTRSGG00002/01-02AI-R_OFFICE,00:1F:64:DB:BE:35,10.15.14.251,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Up,Jayakarta_Hotel_09
MTRMTR00149/02-01AI-LT2_RUKO,00:1F:64:DB:BE:3B,10.15.15.49,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Up,TOKO_NESYA_PANJITILAR
BIMBIM00007/01-01AI-DPN_R_TU,00:1F:64:DB:BE:3E,10.15.14.173,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Up,KAMPUS_STKIP_BIMA_01
BIMBIM00012/01-01AI-DP_R_TU,00:1F:64:DB:BE:41,0.0.0.0,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Down,SMK3_BIMA_01
BIMBIM00007/01-03AI-DP_AULA,00:1F:64:DB:BE:44,10.15.14.91,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Up,KAMPUS_STKIP_BIMA_03
PTKPTK00322/01-01AI-Dalam_Cafe,00:1F:64:DB:BE:47,10.15.24.135,AE5100-E2AN2T,Root Area,WAC-D6-PTK,Down,CAFE-RAZA_JL_AMPERA_PTK
PALPAL00069/01-02AI-Dp_Kasir_Careto_Lantai_1,00:1F:64:DB:BE:4A,10.15.67.28,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak,WAC-D7-BLK02,Up,CARETO CAFE & RESTO JL. PEMUDA PALU
PALPAL00045/01-01AI-Dp_Kasir_Sikamali,00:1F:64:DB:BE:53,10.15.67.4,AE5100-E2AN2T,Root Area,WAC-D7-BLK02,Up,WARKOP SIKAMALI JL. BALAIKOTA SELATAN PALU
PALPAL00050/01-01AI-Toko_Elektronik_Tiara,00:1F:64:DB:BE:5C,10.14.61.48,AE5100-E2AN2T,WAC Sulawesi>>Makassar>>MKS02,WAC-D7-BLK02,Down,TOKO ELEKTRONIK TIARA JL. W. MONGINSIDI NO. 24 PALU
autoap,00:1F:64:DB:BE:5F,0.0.0.0,AE5100-E2AN2T,Root Area,WAC-D7-BLK02,Down,SAILTOMINI
PALPAL000135/01-02AI-Rg_VIP,00:1F:64:DB:BE:62,10.14.60.28,AE5100-E2AN2T,Root Area,WAC-D7-BLK02,Up,WARKOP AWENG HARAPAN JL. SAM RATULANGI PALU
PALPAL00137/01-01AI_DP_ETALASE,00:1F:64:DB:BE:65,10.14.60.24,AE5100-E2AN2T,Root Area,WAC-D7-BLK02,Up,BENGKEL SMARTPHONEJL. DR SUHARSO 21 palu
PALTWL00002/01-01AI-Dp_Plasa_Tawaeli,00:1F:64:DB:BE:68,10.15.68.13,AE5100-E2AN2T,WAC Sulawesi>>Makassar>>MKS02,WAC-D7-BLK02,Up,WIFI CORNER PLASA TAWAELI JL. SAMUDRA RAYA TAWAELI
SD_Ebenhaezer_2,00:1F:64:DB:BF:10,10.14.3.163,AE5100-E2AN2T,Root Area,WAC-D7-MDO,Down,WMS_SD_Ebenhazer_2_Jl_Diponegoro_no.4_Manado
PTKPTK00132/01-01AI-R_Service,00:1F:64:DB:BF:22,0.0.0.0,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,CANDIKA-COMPUTER_JL-KH-WAHID-HASYIM_PTK
6PTK000631/01-01AI-Cafe,00:1F:64:DB:BF:4F,10.15.21.171,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,6PTK_CAFE_SINAR-FAJAR
JPAJPR00014/01-01AI-Dpn_R_Perpus,00:1F:64:DB:BF:5B,0.0.0.0,AE5100-E2AN2T,WAC Jateng>>Gombel>>GBL 01,WAC-D4-GBL01,Down,Jl. HOS Cokroaminoto No 1 Jepara
PTKPTK00180/01-02AI-Dlm_Cafe_Ruko_3,00:1F:64:DB:BF:6A,10.15.22.69,AE5100-E2AN2T,Root Area,WAC-D6-PTK,Down,CAFE-ABI_JL_DANAU-SENTARUM_PTK
PTKSRD00008/01-01AI-Dlm_Cafe,00:1F:64:DB:BF:6D,10.15.24.37,AE5100-E2AN2T,Root Area,WAC-D6-PTK,Down,CAFE-50:50_JL_SEI-RAYA-DALAM_PTK
PTKPTK00305/01-01AI-Atas_Kasir,00:1F:64:DB:BF:70,10.15.24.48,AE5100-E2AN2T,Root Area,WAC-D6-PTK,Down,CAFE-TUNE_JL_GAJAHMADA_PTK
PTKPTK00303/01-01AI-Atas_Kasir,00:1F:64:DB:BF:76,10.15.24.95,AE5100-E2AN2T,Root Area,WAC-D6-PTK,Down,RM-PUTRI-RAYA_JL_AHMAD-YANI_PTK
4KS006321/01-03AI-R_Playanan,00:1F:64:DB:BF:7C,10.15.53.203,AE5100-E2AN2T,WAC Jateng>>Gombel>>GBL 01,WAC-D4-GBL01,Up,RSUD Kudus Jl. Lukmonohadi no.19 kudus Tlp. 444001
4PW003800/1-01AI-R_Guru,00:1F:64:DB:BF:7F,10.15.11.134,AE5100-E2AN2T,WAC Jateng>>Gombel>>GBL 01,WAC-D4-GBL01,Up,SMU Negeri 1 GUBUG JL. A YANI NO. 171 GUBUG KEL. GUBUG KEC. GUBUG
4KS005665/01-01AI-R_Server,00:1F:64:DB:BF:82,10.15.71.5,AE5100-E2AN2T,WAC Jateng>>Gombel>>GBL 01,WAC-D4-GBL01,Up,Dinas Pendidikan Kec. Mejobo ? Kudus JL MEJOBO
4PT003819/01-02AI-Dp_R_Guru,00:1F:64:DB:BF:85,10.15.11.107,AE5100-E2AN2T,WAC Jateng>>Gombel>>GBL 01,WAC-D4-GBL01,Up,SMPN 5 PATI Jl. Sudirman No. 62 Pat,i Tlp. 0295 381114
PTKPTK00210/01-02AI-R-vip,00:1F:64:DB:BF:91,10.15.24.85,AE5100-E2AN2T,Root Area,WAC-D6-PTK,Down,PIZZA-HUT-AYANI-MEGAMALL_JL_AHMAD-YANI_PTK
6PTK000632/01-01AI-Cafe,00:1F:64:DB:BF:94,10.15.20.99,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,6PTK_CAFE_SOCCER
6PTK003582/01-01AI-Asrama_Lt_1,00:1F:64:DB:BF:A3,10.15.20.14,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,ASRAMA-AKBID-PANCA-BHAKTI-II_JL-A-YANI_PTK
autoap,00:1F:64:DB:BF:C7,10.15.68.15,AE5100-E2AN2T,Root Area,WAC-D7-BLK02,Up,Not set
PALPAL00087/01-01AI-R_Aula_KPU_Propinsi,00:1F:64:DB:BF:DF,10.14.61.57,AE5100-E2AN2T,WAC Sulawesi>>Makassar>>MKS02,WAC-D7-BLK02,Down,KPU PROP. SULTENG JL. S. PARMAN NO. 58 PALU
PTKPTK00317/01-01AI-Depan_Ruang_Kepala,00:1F:64:DB:BF:E5,10.15.24.122,AE5100-E2AN2T,Root Area,WAC-D6-PTK,Down,KANTOR-KANWIL-KEHAKIMAN_JL_AR-HAKIM_PTK
autoap,00:1F:64:DB:BF:EB,10.15.68.38,AE5100-E2AN2T,Root Area,WAC-D7-BLK02,Down,Not set
PTKPTK00319/02-01AI-Dalam_Counter,00:1F:64:DB:BF:EE,10.15.24.125,AE5100-E2AN2T,Root Area,WAC-D6-PTK,Down,MAESTRO-PONSEL_KOMP-KHATULISTIWA-PLASA_JL_DIPONEGORO_PTK
autoap,00:1F:64:DB:BF:F4,10.15.68.37,AE5100-E2AN2T,Root Area,WAC-D7-BLK02,Down,Not set
autoap,00:1F:64:DB:BF:F7,10.15.68.39,AE5100-E2AN2T,Root Area,WAC-D7-BLK02,Up,Not set
PALPAL00100/01-01AI-Unity_Cafe_Resto,00:1F:64:DB:BF:FA,10.14.61.64,AE5100-E2AN2T,WAC Sulawesi>>Makassar>>MKS02,WAC-D7-BLK02,Up,WIFI CORNER UNITY CAFE & RESTO JL. BASUKI RAHMAT NO. 49 PALU
PALPAL00070/01-01AI_Warkop_Teman_Nongkrong,00:1F:64:DB:BF:FD,0.0.0.0,AE5100-E2AN2T,WAC Sulawesi>>Makassar>>MKS02,WAC-D7-BLK02,Down,WIFI CORNER WARKOP TEMAN NONGKRONG JL. JUANDA
PALPAL00019/01-01AI-Selebes_Seluler,00:1F:64:DB:C0:00,10.14.61.18,AE5100-E2AN2T,WAC Sulawesi>>Makassar>>MKS02,WAC-D7-BLK02,Up,SELEBES SELULER JL. GATOT SUBROTO NO. 45 PALU
PALPAL00087/01-02AI-Dp_R_Ketua_KPU_Propinsi,00:1F:64:DB:C0:09,10.14.61.37,AE5100-E2AN2T,WAC Sulawesi>>Makassar>>MKS02,WAC-D7-BLK02,Down,KPU PROP. SULTENG JL. S. PARMAN NO. 58 PALU
PALPAL00088/01-01AI-R_Kerja_KPU_Kota,00:1F:64:DB:C0:0C,10.14.60.5,AE5100-E2AN2T,WAC Sulawesi>>Makassar>>MKS02,WAC-D7-BLK02,Up,KPU KOTA PALU JL. BALAIKOTA SELATAN PALU
PALPAL00099/01-01AI-R_Guru_SMP_Negeri_1,00:1F:64:DB:C0:0F,10.15.67.29,AE5100-E2AN2T,WAC Sulawesi>>Makassar>>MKS02,WAC-D7-BLK02,Up,SMP NEGERI 1 PALU JL. GATOT SUBROTO PALU
PALPAL00113/01-01AI-Dp_Lobby_Cafe_Foodie,00:1F:64:DB:C0:15,10.14.61.20,AE5100-E2AN2T,WAC Sulawesi>>Makassar>>MKS02,WAC-D7-BLK02,Up,FOODIE CAFE & RESTO JL. HASANUDDIN PALU
PALPAL00095/01-03AI-R_Tata_Usaha_SMK_1,00:1F:64:DB:C0:5D,10.15.68.28,AE5100-E2AN2T,WAC Sulawesi>>Makassar>>MKS02,WAC-D7-BLK02,Up,SMK NEGERI 1 PALU JL. RA. KARTINI PALU
PSOPOS00005/01-01AI-Prapatan_Home_Coffee,00:1F:64:DB:C0:60,10.15.67.20,AE5100-E2AN2T,WAC Sulawesi>>Makassar>>MKS02,WAC-D7-BLK02,Up,PRAPATAN HOME COFFEE JL. SUDIRMAN N0. 19 POSO
PALPAL00118/01-02BI-Pintu_Samping_Rujab_Bupati_Mamut,00:1F:64:DB:C0:7E,10.15.68.9,AE5100-E2AN2T,Root Area,WAC-D7-BLK02,Up,RUJAB BUPATI MAMUJU UTARA PASANGKAYU
PALPAL00006/01-04AI-Dpn_R_Karyawan,00:1F:64:DB:C0:8A,10.14.60.10,AE5100-E2AN2T,WAC Sulawesi>>Makassar>>MKS02,WAC-D7-BLK02,Up,KANTOR TVRI JL. RAJA MOILI PALU
autoap,00:1F:64:DB:C1:14,10.15.67.43,AE5100-E2AN2T,Root Area,WAC-D7-BLK02,Down,Not set
autoap,00:1F:64:DB:C1:1A,10.15.67.44,AE5100-E2AN2T,Root Area,WAC-D7-BLK02,Down,Not set
autoap,00:1F:64:DB:C1:20,0.0.0.0,AE5100-E2AN2T,Root Area,WAC-D7-BLK02,Down,SAILTOMINI
autoap,00:1F:64:DB:C1:3B,10.15.68.21,AE5100-E2AN2T,Root Area,WAC-D7-BLK02,Up,Not set
PTKPTK00055/01-01AI-Dlm_Cafe,00:1F:64:DB:C1:DD,10.15.22.60,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,CAFE-QEYS_JL_DANAU-SENTARUM_PTK
autoap,00:1F:64:DB:C1:E6,0.0.0.0,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,Not set
6PTK000657/01-12AI-Dpn_Admin_Tsel,00:1F:64:DB:C1:EC,10.15.20.96,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,TELKOMSEL-DPN-R-ADMIN_JL_GST-SULUNG-LELANANG_PTK
PTKJWI00003/01-01AI-Dlm_Cafe,00:1F:64:DB:C1:F2,10.15.22.32,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,CAFE-TIURMA_JL_KOMYOS-SUDARSO_PTK
PTKPTK00146/01-01AI-Dlm_Cafe,00:1F:64:DB:C1:F5,10.15.23.24,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,CAFE-O_JL_MERDEKA-PTK
PTKPTK00150/01-01AI-Dlm_Cafe,00:1F:64:DB:C1:F8,0.0.0.0,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,CAFE-ALSYA_JL_TANJUNG-RAYA-II_PTK
PTKJWI00004/01-01AI-Dlm_Cafe,00:1F:64:DB:C1:FB,10.15.21.160,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,CAFE-AS_JL_KOMYOS-SUDARSO_PTK
PTKPTK00152/01-01AI-Dlm_Cafe,00:1F:64:DB:C1:FE,0.0.0.0,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,CAFE-KITA_JL_PARIS-II_PTK
STGSTN00002/01-01AI-Dpn_Plasa,00:1F:64:DB:C2:0A,10.15.21.168,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,PLASA-SINTANG
PALPAL00060/01-01AI-R_Galeri_Komputer_Lt_1,00:1F:64:DB:C2:6A,10.15.68.40,AE5100-E2AN2T,WAC Sulawesi>>Makassar>>MKS02,WAC-D7-BLK02,Up,GALERI KOMPUTER JL. SUHARSO PALU
PALPAL00060/01-02AI-R_Galeri_Komputer_Lt_2,00:1F:64:DB:C2:70,10.15.68.46,AE5100-E2AN2T,WAC Sulawesi>>Makassar>>MKS02,WAC-D7-BLK02,Up,GALERI KOMPUTER JL. SUHARSO PALU
PTKPTK00144/01-01AI-Dlm_Cafe,00:1F:64:DB:C3:DB,10.15.22.66,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,WIFI-CORNER-CAFE-ATLAS_JL_AMPERA_PTK
5MTR011067/01-03AI-DP_KLS_8_C,00:1F:64:DB:C4:41,0.0.0.0,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram,WAC-D7-MTR,Down,SMPn_19_03
5MTR011067/01-02AI-DP_KLS_7_A,00:1F:64:DB:C4:44,10.15.14.147,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram,WAC-D7-MTR,Up,SMPn_19_02
5MTR011067/01-04AI-DP_KLS_9_C,00:1F:64:DB:C4:47,10.15.14.207,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram,WAC-D7-MTR,Up,SMPn_19_04
5MTR011067/01-05AI-DP_R_GURU,00:1F:64:DB:C4:4D,10.15.14.34,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram,WAC-D7-MTR,Up,SMPn_19_05
PTKPTK00177/01-01AI-Dlm_Cafe,00:1F:64:DB:C4:68,10.15.22.44,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,CAFE-AE'K-KOPI_JL_AMPERA_PTK
PTKPTK00173/01-01AI-Dlm_Cafe,00:1F:64:DB:C4:71,0.0.0.0,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,CAFE-155_JL_HIJAS_PTK
BTBTU00004/01-01AI-lantai3-11F0056,00:1F:64:DB:C4:77,10.14.3.133,AE5100-E2AN2T,Root Area,WAC-D7-MDO,Down,WMS Kantor Pajak Bitung Lantai 3 Jl. Samratulangi Bitung
MTRMTR00168/11-02AI-BRT_KARAOKE,00:1F:64:DB:C4:7D,10.15.15.196,AE5100-E2AN2T,Root Area,WAC-D7-MTR,Up,GOLDEN_PALACE_HOTEL_AP_049_DP_908
PTKSRY00004/01-01AI-Ktr_DPPKAD,00:1F:64:DB:C4:92,10.15.23.159,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,KANTOR-DPPKAD-KAB-KUBU-RAYA
autoap,00:1F:64:DB:C4:95,0.0.0.0,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,eks-cafe-abi
MTRMTR00160/01-01AI-SLPRNG_ROOM,00:1F:64:DB:C4:BF,10.15.14.246,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Up,LOMBOK_RAYA_HOTEL_09
PTKPTK00181/01-01AI-Dlm_Cafe,00:1F:64:DB:C4:E0,10.15.23.78,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,KANTIN-MAK-LONG_JL_AMPERA_PTK
BTBTU00004/01-02AI-lantai2-11F0057,00:1F:64:DB:C4:FE,10.14.3.132,AE5100-E2AN2T,Root Area,WAC-D7-MDO,Down,WMS Kantor Pajak Bitung Lantai 2 Jl. Samratulangi Bitung
PTKPTK00186/01-01AI-Dlm_Cafe,00:1F:64:DB:C5:07,10.15.23.100,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,CAFE-OLAN_JL_SULTAN-ABDUL-RAHMAH_PTK
BTBTU00004/01-03AI-lantai4-11F0058,00:1F:64:DB:C5:0D,10.14.3.131,AE5100-E2AN2T,Root Area,WAC-D7-MDO,Down,WMS Kantor Pajak Bitung Lantai 4 Jl. Samratulangi Bitung
MOBAH00014/01-01AI-ruang_makan-11F0028,00:1F:64:DB:C5:10,10.14.3.22,AE5100-E2AN2T,Root Area,WAC-D7-MDO,Down,WMS RumahMakan_DAMAR_WULAN_Manado
7MO000360/01-03AI-ruang_guru-21F1421,00:1F:64:DB:C5:19,10.14.4.183,AE5100-E2AN2T,Root Area,WAC-D7-MDO,Down,WMS SMAN_2_Manado Lt1 Ruang Guru Jl. Tololiu Supit Manado
PTKPTK00099/01-01AI-Wifi_Corner,00:1F:64:DB:C5:25,10.15.23.153,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,STO-SERDAM_PTK
PTKPTK00127/01-01AI-Receptionis,00:1F:64:DB:C5:31,10.15.23.147,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,KSM_JL_WR-SUPRAPTO_PTK
MTRMTR00168/08-03AI-SAMPING_LIFT,00:1F:64:DB:C5:4F,10.15.15.144,AE5100-E2AN2T,Root Area,WAC-D7-MTR,Up,GOLDEN_PALACE_HOTEL_AP_035
PTKSRY00005/01-01AI-Dlm_Cafe,00:1F:64:DB:C5:5E,0.0.0.0,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,CAFE-ADEM-AYEM_JL_SEI-RAYA-DALAM_PTK
PTKPTK00187/01-01AI-Dlm_Cafe,00:1F:64:DB:C5:85,10.15.23.112,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,CAFE-DAUN-MUSIK_JL_SUWIGNYO_PTK
PTKJWI00011/01-01AI-Dlm_Cafe,00:1F:64:DB:C5:88,10.15.23.54,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,CAFE-EKA_JL_TABRANI-AHMAD_PTK
MTRMTR00168/09-01AI-DP_KMR_906,00:1F:64:DB:C5:97,10.15.15.184,AE5100-E2AN2T,Root Area,WAC-D7-MTR,Up,GOLDEN_PALACE_HOTEL_AP_038
MTRMTR00168/09-02AI-DP_KMR_909,00:1F:64:DB:C5:B8,10.15.15.33,AE5100-E2AN2T,Root Area,WAC-D7-MTR,Up,GOLDEN_PALACE_HOTEL_AP_039
PTKPTK00085/01-04AI-R_E_Channel,00:1F:64:DB:C5:C7,10.15.21.27,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,BANK-MANDIRI-DIPONEGORO_JL-DIPONEGORO_PTK
MTRMTR00168/08-04AI-DP_KMR_817,00:1F:64:DB:C6:2A,10.15.15.94,AE5100-E2AN2T,Root Area,WAC-D7-MTR,Up,GOLDEN_PALACE_HOTEL_AP_036
PTKPTK00244/01-01AI-Dlm_Cafe,00:1F:64:DB:C6:33,10.15.23.168,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,CAFE-86_JL_AMPERA_PTK
MTRMTR00168/08-05AI-DP_KMR_832,00:1F:64:DB:C6:3C,10.15.15.92,AE5100-E2AN2T,Root Area,WAC-D7-MTR,Up,GOLDEN_PALACE_HOTEL_AP_037
PTKPTK00214/01-01AI-Dlm_Cafe,00:1F:64:DB:C6:45,10.15.23.31,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,CAFE-PLAT-G_JL_ILHAM_PTK
PTKPTK00241/01-01AI-Dlm_Cafe,00:1F:64:DB:C6:4B,0.0.0.0,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,CAFE-CENTRAL-KOPI_JL_KETAPANG_PTK
PTKPTK00243/01-01AI-Dlm_Cafe,00:1F:64:DB:C6:51,10.15.23.67,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,CAFE-SQUARE_JL_DR-SUTOMO_PTK
PTKPTK00213/02-01AI-Dlm_Cafe,00:1F:64:DB:C6:54,10.15.23.27,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,ALFAMART-GAJAHMADA_JL_GAJAHMADA_PTK
PTKPTK00215/01-01AI-Dlm_Cafe,00:1F:64:DB:C6:57,10.15.23.113,AE5100-E2AN2T,WAC Kalimantan>>WAC Pontianak>>PTK01,WAC-D6-PTK,Down,MYCAFE_JL_WOLTER-MONGINSIDI_PTK
MTRMTR00168/11-01AI-TMR_KARAOKE,00:1F:64:DB:C6:72,10.15.15.15,AE5100-E2AN2T,Root Area,WAC-D7-MTR,Up,GOLDEN_PALACE_HOTEL_AP_048
MTRMTR00168/10-04AI-DP_KMR_1009,00:1F:64:DB:C6:7B,10.15.15.5,AE5100-E2AN2T,Root Area,WAC-D7-MTR,Up,GOLDEN_PALACE_HOTEL_AP_046
MTRMTR00168/10-05AI-DP_KMR_1019,00:1F:64:DB:C6:81,10.15.15.188,AE5100-E2AN2T,Root Area,WAC-D7-MTR,Up,GOLDEN_PALACE_HOTEL_AP_047
